Name,ProductCode,Description,Family,SBQQ__PricingMethod__c,SBQQ__ChargeType__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__SubscriptionTerm__c,SBQQ__SubscriptionPricing__c,SBQQ__SubscriptionType__c,SBQQ__SubscriptionBase__c,SBQQ__DynamicPricingConstraint__c,SBQQ__SubscriptionCategory__c,SBQQ__SubscriptionPercent__c,SBQQ__ProductPictureID__c,SBQQ__ConfigurationType__c,SBQQ__ConfigurationEvent__c,IsActive,SBQQ__Component__c,SBQQ__DiscountSchedule__r.Name,SBQQ__TermDiscountSchedule__r.Name,SBQQ__TermDiscountLevel__c,SBQQ__DefaultPricingTable__c,blng__BillingRule__r.Name,blng__RevenueRecognitionRule__r.Name,blng__TaxRule__r.Name,SBQQ__Taxable__c,SBQQ__NonDiscountable__c,SBQQ__NonPartnerDiscountable__c,SBQQ__PricingMethodEditable__c,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BlockPricingField__c,SBQQ__CompoundDiscountRate__c,SBQQ__ConfiguredCodePattern__c,SBQQ__ConfiguredDescriptionPattern__c,SBQQ__CostEditable__c,SBQQ__CustomerCommunityAvailability__c,SBQQ__DefaultQuantity__c,SBQQ__DescriptionLocked__c,SBQQ__EnableLargeConfiguration__c,SBQQ__ExcludeFromMaintenance__c,SBQQ__IncludeInMaintenance__c,SBQQ__ExcludeFromOpportunity__c,SBQQ__ExternallyConfigurable__c,SBQQ__GenerateContractedPrice__c,SBQQ__Hidden__c,SBQQ__HidePriceInSearchResults__c,SBQQ__NewQuoteGroup__c,SBQQ__OptionLayout__c,SBQQ__OptionSelectionMethod__c,SBQQ__Optional__c,SBQQ__PriceEditable__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,SBQQ__ReconfigurationDisabled__c,SBQQ__SortOrder__c,SBQQ__Specifications__c,SBQQ__TaxCode__c,SBQQ__UpgradeRatio__c,SBQQ__CostSchedule__r.Name,SBQQ__PricingGuidance__r.Name,SBQQ__RenewalProduct__r.Name,SBQQ__SubscriptionTarget__r.Name,SBQQ__UpgradeCredit__r.Name,SBQQ__UpgradeSource__r.Name,SBQQ__UpgradeTarget__r.Name
Monthly Named Users,SB-SW-USER-N,Monthly recurring charge based on committed number of users,Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,Named Users,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
C13 to C14 Power Cable 3',SB-HW-CMPC-5887,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,List,One-Time,,,,,,List,,Hardware,,,,,TRUE,FALSE,Hardware Discount,,,,Invoice - Standard,Order Based - 100% Upfront,Standard Tax,FALSE,FALSE,FALSE,FALSE,Allow Refund,One per unit,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
Cable Management Rings (Qty 10),SB-HW-CMPC-5881,These accessories offer the proper cable management options to meet varying needs.,Hardware,List,One-Time,,,,,,List,,Hardware,,,,,TRUE,TRUE,Tooless Cable Management,,,,Invoice - Standard,Order Based - 100% Upfront,Standard Tax,FALSE,FALSE,FALSE,FALSE,Allow Refund,One per unit,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
SmartBytes Bundle - Complete Solution,SB-SW-BUNDLE-PZ,Configure a comprehensive end-to-end data strategy for all of your customer's needs across various security and IT solution applications.,Bundle,List,Recurring,Annual,Advance,1,Fixed Price,Renewable,List,,,,,Required,Always,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,1,,,,,,,,,,
SmartBytes Cloud Core,SB-SW-CORE-CLD,"Designed to facilitate bursts in data volume, SmartBytes Cloud Core allows you to incrementally upgrade capacity white retaining security by design.",Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,Standard,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
SmartBytes Enterprise Core,SB-SW-CORE-ENT,"Leverage the strength of machine learning to improve IT, security and business outcomes across different sources.",Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
Anomaly Detection,SB-SW-AO-ANOM-DET,A streaming and reporting command that identifies anomalous events by computing a probability for each event and then detecting unusually small probabilities,Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
Application Monitoring,SB-SW-APP-MON,"Nothing improves the customer experience like good application performance. With SmartBytes application monitoring solutions, you can monitor and measure the key areas that impact customer experience (CX)",Software,List,Recurring,Annual,Advance,12,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
Clustering,SB-SW-AO-CLUSTER,"This add-on will allow consolidation of multiple SmartBytes instances, or nodes, that, working in concert, provide a redundant indexing and searching capability",Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
Data Navigator,SB-SW-ITA-DAT-NAV,Access the status of all data across your environment as a starting point for more proactive monitoring and deeper exploration,Software,List,Recurring,Monthly,Advance,1,Fixed Price,Renewable,List,,,,,,,TRUE,FALSE,,,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,TRUE,FALSE,FALSE,FALSE,Default,,,Quantity,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,Click,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,
